"miembros","MOVILIDAD","DECOMISO","SECUESTRO","GENERO","EDADES","FALLECIDOS","OCUPA","TIENE_OS","COND_OCUP","CANT_BANCOS","MONTO_BANCOS","CALIF_BCRA","CompromisosMensuales","NSE_AGRUP"
"1",NA,"Madera(s)",NA,"Masculino","63 + años",NA,"Construcción","No",NA,"2",18,"1",42,"$51.235/$73.333"
"3","Camion(es)/Maquin(as)","Madera(s)","Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"No",NA,"2",40,"1",99,"$36.167/$51.234"
"2","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"4",NA,"Peces","Equip.de pesca y Otros","Masculino","63 + años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) blancas y Otros","Masculino","63 + años",NA,NA,"Si","Jubilados Del Sistema Nacional Del Seguro de Salud",NA,NA,NA,NA,"$23.153/$36.166"
"1",NA,NA,"Equip.de pesca","Masculino","63 + años",NA,"Comercio","Si","Jubilados y Pensionados de Pami",NA,NA,NA,NA,"$23.153/$36.166"
"2","Motocicleta(s)",NA,"Equip.de pesca y Otros","Masculino","63 + años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Equip.de pesca","Masculino","63 + años",NA,"Comercio","No",NA,"2",9,"1",25,"<=$23.152"
"2","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Transporte","Si","Relacion de Dependencia","1",73,"1",134,"$73.334$143.107"
"1",NA,"Mamifero(s), Ave(s), y Otro(s)","Arma(s) blancas y Otros","Masculino","49 - 62 años",NA,NA,"Si","Jubilados y Pensionados de Pami",NA,NA,NA,51,"$36.167/$51.234"
"1","Camion(es)/Maquin(as)","Mamifero(s)",NA,"Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia","1",48,"1",110,"$73.334$143.107"
"4","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,"1",39,"1",89,"$73.334$143.107"
"2",NA,"Peces",NA,"Masculino","21 - 34 años",NA,"Servicios varios","No",NA,"1",41,"1",86,"$51.235/$73.333"
"3",NA,NA,"Arma(s) de fuego y Otros","Femenino","49 - 62 años",NA,NA,"No",NA,"1",18,"1",45,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego","Masculino","63 + años",NA,NA,"No",NA,"1",48,"1",91,"$23.153/$36.166"
"1",NA,NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"No",NA,"1",91,"1",136,"$51.235/$73.333"
"1",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,"1",32,"1",83,"$23.153/$36.166"
"2",NA,NA,NA,"Masculino","63 + años",NA,NA,"No",NA,"1",51,"1",100,"<=$23.152"
"3",NA,"Madera(s)",NA,"Masculino","35 - 48 años",NA,"Comercio","No",NA,"2",75,"1",137,"$36.167/$51.234"
"1",NA,"Mamifero(s)","Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"3","Canoa(s)",NA,"Equip.de pesca","Masculino","63 + años",NA,NA,"Si","Relacion de Dependencia","2",87,"1",141,"$51.235/$73.333"
"1",NA,"Madera(s)",NA,"Masculino","49 - 62 años",NA,"Forestal","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"2","Lancha(s)","Peces",NA,"Masculino","49 - 62 años",NA,NA,"No",NA,"1",11,"1",82,"$36.167/$51.234"
"1",NA,"Madera(s)","Arma(s) blancas y Otros","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"3",NA,NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,NA,"No",NA,"2",97,"1",147,"$36.167/$51.234"
"2","Caballo(s)/Bicicleta(s)",NA,NA,"Masculino","35 - 48 años",NA,"Servicios varios","No",NA,"1",11,"1",30,"$51.235/$73.333"
"1",NA,"Madera(s)",NA,"Masculino","35 - 48 años",NA,"Servicios varios","No",NA,"1",11,"1",30,"$51.235/$73.333"
"3","Lancha(s)",NA,NA,"Masculino","35 - 48 años",NA,NA,"No",NA,"1",4,"1",14,"$36.167/$51.234"
"2",NA,"Peces","Equip.de pesca","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"2","Camioneta(s)","Peces",NA,"Masculino","63 + años",NA,"Agropecuario","No",NA,"1",3,"1",6,"$23.153/$36.166"
"2","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Comercio","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"1",NA,NA,NA,"Masculino","21 - 34 años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$73.334$143.107"
"1",NA,"Peces","Equip.de pesca","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Ornamentales(s) y Otro(s)",NA,"Masculino","49 - 62 años",NA,NA,"Si","Monotributistas Efectores Sociales","1",45,"1",70,"$36.167/$51.234"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Construcción","Si","Pequeños Contribuyentes Monotributistas Ley 25 86","2",84,"1",157,"$73.334$143.107"
"3","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"1","Motocicleta(s)",NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"1","Lancha(s)",NA,"Equip.de pesca y Otros","Femenino","49 - 62 años",NA,NA,"No",NA,"1",59,"1",92,"$23.153/$36.166"
"4","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$36.167/$51.234"
"2","Canoa(s)",NA,"Equip.de pesca","Masculino","63 + años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","63 + años",NA,NA,"No",NA,"1",79,"1",112,"$23.153/$36.166"
"4","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,"1",6,"11",20,"$36.167/$51.234"
"3","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$23.153/$36.166"
"1","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","63 + años",NA,"Servicios varios","Si","Jubilados y Pensionados de Pami",NA,NA,NA,NA,"$23.153/$36.166"
"2",NA,"Peces","Equip.de pesca","Masculino","63 + años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Lancha(s)",NA,"Equip.de pesca","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"1",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,"Madera(s)",NA,"Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","63 + años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$36.167/$51.234"
"2","Automoviles",NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"$73.334$143.107"
"1",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,"1",11,"1",38,"<=$23.152"
"1","Camioneta(s)","Madera(s)",NA,"Masculino","63 + años",NA,NA,"Si","Jubilados y Pensionados de Pami",NA,NA,NA,NA,"$23.153/$36.166"
"3","Lancha(s)",NA,NA,"Masculino","21 - 34 años",NA,NA,"Si","Relacion de Dependencia","1",22,"1",43,"$51.235/$73.333"
"1",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,"1",23,"1",74,"$51.235/$73.333"
"1",NA,NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"2",NA,NA,"Arma(s) de fuego","Masculino","63 + años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"1","Canoa(s)",NA,"Equip.de pesca","Masculino","21 - 34 años",NA,NA,"Si","Relacion de Dependencia","1",4,"1",14,"$51.235/$73.333"
"1",NA,"Madera(s)",NA,"Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"3","Canoa(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Construcción","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,"Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"Si","Jubilados y Pensionados de Pami",NA,NA,NA,NA,"$23.153/$36.166"
"5",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Forestal","Si","Relacion de Dependencia","1",14,"1",39,"$23.153/$36.166"
"1",NA,"Mamifero(s)",NA,"Masculino","49 - 62 años",NA,"Comercio","No",NA,"2",76,"1",125,"$51.235/$73.333"
"4",NA,"Mamifero(s), Ave(s), y Otro(s)","Equip.de pesca","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,"1",46,"1",72,"$23.153/$36.166"
"3","Canoa(s)","Peces","Equip.de pesca","Masculino","21 - 34 años",NA,"Comercio","No",NA,NA,NA,NA,NA,">=$229.817"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","63 + años",NA,NA,"No",NA,"1",18,"1",50,"$23.153/$36.166"
"1",NA,NA,NA,"Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"2","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$36.167/$51.234"
"3","Canoa(s)",NA,"Equip.de pesca","Masculino","63 + años",NA,NA,"No",NA,"1",13,"1",37,"<=$23.152"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,"1",38,"1",96,"$51.235/$73.333"
"1","Lancha(s)","Peces",NA,"Masculino","49 - 62 años",NA,"Agropecuario","No",NA,"1",43,"1",64,"<=$23.152"
"2","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","63 + años",NA,"Agropecuario","No",NA,"1",46,"1",65,"$36.167/$51.234"
"1",NA,"Peces",NA,"Masculino","49 - 62 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Comercio","Si","Pequeños Contribuyentes Monotributistas Ley 25 86","1",25,"11",71,"$51.235/$73.333"
"1","Motocicleta(s)","Peces",NA,"Masculino","35 - 48 años",NA,NA,"No",NA,"1",45,"1",106,"$73.334$143.107"
"1",NA,NA,"Equip.de pesca","Masculino","63 + años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","63 + años",NA,NA,"No",NA,"1",50,"1",88,"<=$23.152"
"1",NA,NA,"Arma(s) blancas y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"4","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Agropecuario","Si","Relacion de Dependencia","1",61,"1",101,"$51.235/$73.333"
"2","Automoviles",NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$36.167/$51.234"
"4",NA,"Peces","Equip.de pesca","Masculino","63 + años",NA,NA,"Si","Jubilados y Pensionados de Pami","1",58,"1",111,"$23.153/$36.166"
"3","Camion(es)/Maquin(as)",NA,"Arma(s) blancas y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,"1",5,"1",33,"<=$23.152"
"2",NA,"Peces","Equip.de pesca y Otros","Masculino","63 + años",NA,NA,"No",NA,"1",6,"1",35,"<=$23.152"
"2",NA,"Peces","Equip.de pesca","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,"Peces","Equip.de pesca","Masculino","21 - 34 años",NA,NA,"No",NA,"1",5,"1",18,"<=$23.152"
"1",NA,"Madera(s)",NA,"Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,"1",24,"1",69,"$51.235/$73.333"
"5",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,"1",22,"1",48,"$23.153/$36.166"
"3","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"1",NA,"Mamifero(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,"1",4,"1",14,"<=$23.152"
"2","Canoa(s)","Mamifero(s), Ave(s), y Otro(s)","Equip.de pesca","Masculino","35 - 48 años",NA,"Transporte","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Madera(s)",NA,"Masculino","35 - 48 años",NA,"Transporte","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,"Transporte","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Lancha(s)","Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,"1",2,"1",8,"<=$23.152"
"1",NA,"Peces","Equip.de pesca","Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia","1",18,"1",50,"$51.235/$73.333"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia","1",4,"1",5,"$36.167/$51.234"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"3","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,"1",55,"1",117,"$51.235/$73.333"
"5",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia","1",9,"1",10,"$23.153/$36.166"
"1","Motocicleta(s)","Peces","Equip.de pesca","Masculino","49 - 62 años",NA,NA,"No",NA,"1",63,"1",124,"$73.334$143.107"
"2",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,NA,"No",NA,"1",7,"1",23,"$23.153/$36.166"
"2","Camioneta(s)","Peces",NA,"Masculino","35 - 48 años",NA,"Comercio","No",NA,"2",80,"1",120,"$23.153/$36.166"
"3",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"1",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,NA,"No",NA,"1",15,"1",41,"<=$23.152"
"1","Canoa(s)",NA,"Equip.de pesca","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,"1",17,"1",46,"$23.153/$36.166"
"2","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"1",NA,NA,"Equip.de pesca","Femenino","21 - 34 años",NA,"Servicios varios","No",NA,"1",10,"1",27,"$36.167/$51.234"
"1",NA,"Ornamentales(s) y Otro(s)",NA,"Masculino","35 - 48 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,"1",26,"1",53,"$23.153/$36.166"
"1",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"1","Lancha(s)",NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$36.167/$51.234"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego","Masculino","63 + años",NA,NA,"No",NA,"1",74,"1",97,"$23.153/$36.166"
"1",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"5",NA,NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"No",NA,"1",2,"1",8,"<=$23.152"
"2","Camioneta(s)","Mamifero(s)","Arma(s) de fuego","Masculino","21 - 34 años",NA,NA,"No",NA,"1",7,"1",23,"<=$23.152"
"2",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Forestal","No",NA,NA,NA,NA,NA,"<=$23.152"
"4",NA,"Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) blancas y Otros","Masculino","63 + años",NA,NA,"No",NA,"2",64,"1",93,"$23.153/$36.166"
"1","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","63 + años",NA,NA,"No",NA,"1",51,"1",113,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,"Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Camioneta(s)","Ornamentales(s) y Otro(s)",NA,"Masculino","35 - 48 años",NA,NA,"No",NA,"2",107,"1",165,"$51.235/$73.333"
"1",NA,"Mamifero(s), Ave(s), y Otro(s)","Equip.de pesca","Masculino","35 - 48 años",NA,NA,"No",NA,"1",96,"1",156,"<=$23.152"
"4",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,NA,"No",NA,"1",9,"1",25,"$23.153/$36.166"
"2",NA,NA,"Equip.de pesca","Femenino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$36.167/$51.234"
"1","Automoviles","Mamifero(s)",NA,"Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$23.153/$36.166"
"3",NA,NA,"Equip.de pesca","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"2","Automoviles","Mamifero(s)","Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$23.153/$36.166"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
